URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.org/guides/who/core/CodeSystem/who-identifier-types,0.3.0,draft,,WHOIdentifierTypes,WHO Identifier Types,"The identifier types code system defines codes for identifier types used throughout WHO content.","ValueSet/who-identifier-types"
http://hl7.org/fhir/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.333",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","ValueSet/location-status"
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ConceptMap/ICD-10"
http://hl7.org/fhir/sid/icf-nl,1.0.0,active,,ICFDut,International Classification of Functioning, Disability and Health, Dutch Translation,"""The International Classification of Functioning, Disability and Health, known more commonly as ICF, is a classification of health and health-related domains. As the functioning and disability of an individual occurs in a context, ICF also includes a list of environmental factors.    ICF is the WHO framework for measuring health and disability at both individual and population levels.    ICF was officially endorsed by all 191 WHO Member States in the Fifty-fourth World Health Assembly on 22 May 2001(resolution [WHA 54.21](http://apps.who.int/gb/archive/pdf_files/WHA54/ea54r21.pdf) ) as the international standard to describe and measure health and disability.    ICF is based on the same foundation as ICD and ICHI and share the same set of extension codes that enable documentation at a higher level of detail.""    ""The Dutch translation of the ICF is published in book form by BSL. The ICF can also be consulted online in the [Classification Browser](https://class.whofic.nl/browser.aspx?scheme=ICF-nl.cla).    The ICF team of the WHO-FIC Collaborating Center combines expertise in the field of the ICF for the Dutch language area and currently consists of delegations from the Netherlands Paramedical Institute, the University Medical Center Groningen, Maastricht University, the Big Move Institute, Stichting Scientific Research Road Safety, University of Ghent, Vilans, and Rehabilitation Center de Hoogstraat.""    Official updates to the ICF are available as annual lists of changes.    These updates are approved annually at the October meeting of the WHO Family of International Classifications (WHO-FIC) Network.    To license ICF, the same rules apply for ICF as for ICD. See [http://icd.who.int/](http://icd.who.int/).    For more information, see [https://www.whofic.nl/familie-van-internationale-classificaties/referentie-classificaties/icf](https://www.whofic.nl/familie-van-internationale-classificaties/referentie-classificaties/icf).","ConceptMap/ICF"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ConceptMap/LOINC"
http://smart.who.int/anc/CodeSystem/anc-activity-codes,0.3.0,draft,,ANCActivityCodes,ANC Activity Codes,"Activity codes are codes to identify the types of activities that are performed as part of the delivery of antenatal care","ValueSet/anc-activity-codes"
http://smart.who.int/anc/CodeSystem/anc-care-codes,0.3.0,draft,,ANCCareCodes,ANC Care Codes,"Care codes are high-level codes used to identify types and categories of care for use in encounters, episodes, and care categories throughout Antenatal care guideline computable content.","ValueSet/pregnancy-condition,ValueSet/anc-care-codes,ValueSet/iron-supplement,ValueSet/antenatal-care-case,ValueSet/antenatal-care-contact,ValueSet/folic-acid-supplement"
http://smart.who.int/anc/CodeSystem/anc-custom-codes,0.3.0,draft,,anccustomcodes,Extended Codes CodeSystem,"Set of codes representing all concepts used in the implementation guide","ValueSet/anc-b9-de90,ValueSet/anc-b9-de92,ValueSet/anc-b9-de91,ValueSet/anc-b9-de94,ValueSet/anc-b9-de93,ValueSet/anc-b9-de96,ValueSet/anc-b8-de129,ValueSet/anc-b8-de128,ValueSet/anc-b8-de121,ValueSet/anc-b8-de123,ValueSet/anc-b8-de122,ConceptMap/ICHI,ValueSet/anc-b9-de89,ValueSet/anc-b8-de118,ValueSet/anc-b8-de117,ValueSet/anc-b8-de116,ValueSet/anc-b8-de115,ValueSet/anc-b8-de110,ValueSet/anc-b8-de112,ValueSet/anc-b8-de111,ValueSet/anc-b9-de98,ValueSet/anc-b9-de97,ConceptMap/SNOMED-CT,ValueSet/anc-b9-de99,ValueSet/anc-b8-de1,ValueSet/anc-b8-de2,ValueSet/anc-b10-de1,ValueSet/anc-b5-de48,ValueSet/anc-b5-de49,ValueSet/anc-b10-de6,ValueSet/anc-b10-de9,ValueSet/anc-b10-de2,ValueSet/anc-b10-de3,ValueSet/anc-b6-de160,ValueSet/anc-b6-de161,ValueSet/anc-b10-de5,ValueSet/anc-b8-de7,ValueSet/anc-b8-de3,ValueSet/anc-b8-de4,ValueSet/anc-b8-de5,ValueSet/anc-b8-de6,ValueSet/anc-b6-de159,ValueSet/anc-b5-de51,ValueSet/anc-b5-de50,ValueSet/anc-b8-de130,ValueSet/anc-b6-de150,ValueSet/anc-b6-de151,ValueSet/anc-b6-de152,ValueSet/anc-b6-de153,ValueSet/anc-b6-de154,ValueSet/anc-b6-de155,ValueSet/anc-b6-de156,ValueSet/anc-b6-de157,ValueSet/anc-b6-de158,ValueSet/anc-b6-de148,ValueSet/anc-b6-de149,ValueSet/anc-b9-de50,ValueSet/anc-b9-de52,ValueSet/anc-b9-de43,ValueSet/anc-b6-de140,ValueSet/anc-b9-de42,ValueSet/anc-b6-de141,ValueSet/anc-b6-de142,ValueSet/anc-b9-de45,ValueSet/anc-b9-de44,ValueSet/anc-b6-de143,ValueSet/anc-b9-de47,ValueSet/anc-b6-de144,ValueSet/anc-b6-de145,ValueSet/anc-b9-de46,ValueSet/anc-b9-de49,ValueSet/anc-b6-de146,ValueSet/anc-b9-de48,ValueSet/anc-b6-de147,ValueSet/anc-b7-de-99,ValueSet/anc-b6-de139,ValueSet/anc-b9-de61,ValueSet/anc-b9-de60,ValueSet/anc-b9-de63,ValueSet/anc-b9-de62,ValueSet/anc-b9-de54,ValueSet/anc-b9-de53,ValueSet/anc-b9-de56,ValueSet/anc-b9-de55,ValueSet/anc-b9-de58,ValueSet/anc-b9-de57,ValueSet/anc-b9-de59,ValueSet/anc-b9-de72,ValueSet/anc-b9-de74,ValueSet/anc-b9-de73,ValueSet/anc-b8-de107,ValueSet/anc-b8-de106,ValueSet/anc-b9-de5,ValueSet/anc-b8-de109,ValueSet/anc-b9-de2,ValueSet/anc-b9-de3,ValueSet/anc-b8-de108,ValueSet/anc-b9-de9,ValueSet/anc-b8-de105,ValueSet/anc-b9-de6,ValueSet/anc-b8-de101,ValueSet/anc-b8-de100,ValueSet/anc-b9-de1,ValueSet/anc-end-41,ValueSet/anc-b9-de67,ValueSet/anc-b9-de66,ValueSet/anc-b6-de125,ValueSet/anc-end-40,ValueSet/anc-b9-de81,ValueSet/anc-b9-de80,ValueSet/anc-b9-de85,ValueSet/anc-b9-de84,ValueSet/anc-b9-de76,ValueSet/anc-b9-de75,ValueSet/anc-b9-de78,ValueSet/anc-b9-de77,ValueSet/anc-b6-de110,ValueSet/anc-b6-de104,ValueSet/anc-b8-de89,ValueSet/anc-b6-de105,ValueSet/anc-b6-de106,ValueSet/anc-b6-de107,ValueSet/anc-b6-de108,ValueSet/anc-b8-de86,ValueSet/anc-b8-de85,ValueSet/anc-b6-de109,ValueSet/anc-b8-de88,ValueSet/anc-b8-de87,ValueSet/anc-b10-de189,ValueSet/anc-b10-de188,ValueSet/anc-b10-de186,ValueSet/anc-b10-de184,ValueSet/anc-b10-de181,ValueSet/anc-b10-de182,ValueSet/anc-b8-de93,ValueSet/anc-b8-de92,ValueSet/anc-b8-de95,ValueSet/anc-b8-de94,ValueSet/anc-b6-de100,ValueSet/anc-b6-de101,ValueSet/anc-b8-de91,ValueSet/anc-b6-de102,ValueSet/anc-b6-de103,ValueSet/anc-b8-de90,ValueSet/anc-b8-de79,ValueSet/anc-b8-de78,ValueSet/anc-b8-de75,ValueSet/anc-b8-de74,ValueSet/anc-b8-de77,ValueSet/anc-b8-de76,ValueSet/anc-b10-de198,ValueSet/anc-b6-de58,ValueSet/anc-b10-de197,ValueSet/anc-b10-de195,ValueSet/anc-b8-de82,ValueSet/anc-b10-de190,ValueSet/anc-b6-de53,ValueSet/anc-b8-de81,ValueSet/anc-b8-de84,ValueSet/anc-b6-de51,ValueSet/anc-b8-de83,ValueSet/anc-b6-de57,ValueSet/anc-b8-de80,ValueSet/anc-b8-de68,ValueSet/anc-b8-de67,ValueSet/anc-b8-de69,ValueSet/anc-b8-de64,ValueSet/anc-b8-de63,ValueSet/anc-b8-de66,ValueSet/anc-b8-de65,ValueSet/anc-b8-de71,ValueSet/anc-b6-de42,ValueSet/anc-b6-de41,ValueSet/anc-b8-de70,ValueSet/anc-b8-de73,ValueSet/anc-b8-de72,ValueSet/anc-b6-de46,ValueSet/anc-b6-de45,ValueSet/anc-b6-de44,ValueSet/anc-b6-de43,ValueSet/anc-b8-de57,ValueSet/anc-b8-de56,ValueSet/anc-b6-de7,ValueSet/anc-b8-de59,ValueSet/anc-b6-de8,ValueSet/anc-b8-de58,ValueSet/anc-b8-de53,ValueSet/anc-b8-de52,ValueSet/anc-b8-de55,ValueSet/anc-b8-de54,ValueSet/anc-b6-de38,ValueSet/anc-b6-de37,ValueSet/anc-b6-de31,ValueSet/anc-b8-de60,ValueSet/anc-b8-de62,ValueSet/anc-b8-de61,ValueSet/anc-b6-de1,ValueSet/anc-b6-de35,ValueSet/anc-b6-de2,ValueSet/anc-b6-de34,ValueSet/anc-b6-de33,ValueSet/anc-b6-de32,ValueSet/anc-b8-de46,ValueSet/anc-b8-de45,ValueSet/anc-b8-de48,ValueSet/anc-b8-de47,ValueSet/anc-b8-de42,ValueSet/anc-b8-de41,ValueSet/anc-b8-de44,ValueSet/anc-b8-de43,ValueSet/anc-b10-de147,ValueSet/anc-b10-de148,ValueSet/anc-b8-de49,ValueSet/anc-b10-de145,ValueSet/anc-b10-de146,ValueSet/anc-b10-de143,ValueSet/anc-b10-de144,ValueSet/anc-b10-de142,ValueSet/anc-b10-de140,ValueSet/anc-b8-de51,ValueSet/anc-b8-de50,ValueSet/anc-b8-de35,ValueSet/anc-b8-de34,ValueSet/anc-b8-de37,ValueSet/anc-b8-de36,ValueSet/anc-b7-ded9,ValueSet/anc-b8-de39,ValueSet/anc-b8-de38,ValueSet/anc-b6-de97,ValueSet/anc-b6-de96,ValueSet/anc-b8-de40,ValueSet/anc-b8-de24,ValueSet/anc-b8-de23,ValueSet/anc-b8-de20,ValueSet/anc-b6-de93,ValueSet/anc-b6-de92,ValueSet/anc-b8-de22,ValueSet/anc-b6-de91,ValueSet/anc-b8-de21,ValueSet/anc-b6-de90,ValueSet/anc-b10-de169,ValueSet/anc-b8-de28,ValueSet/anc-b8-de27,ValueSet/anc-b10-de167,ValueSet/anc-b8-de29,ValueSet/anc-b10-de165,ValueSet/anc-a-de14,ValueSet/anc-a-de13,ValueSet/anc-b10-de164,ValueSet/anc-b10-de162,ValueSet/anc-b6-de86,ValueSet/anc-b6-de85,ValueSet/anc-b6-de84,ValueSet/anc-b6-de83,ValueSet/anc-b8-de15,ValueSet/anc-b8-de11,ValueSet/anc-b8-de10,ValueSet/anc-b8-de17,ValueSet/anc-b8-de16,ValueSet/anc-b8-de19,ValueSet/anc-b7-de5,ValueSet/anc-b10-de176,ValueSet/anc-b7-de2,ValueSet/anc-b7-de1,ValueSet/anc-b10-de175,ValueSet/anc-b10-de173,ValueSet/anc-b10-de171,ValueSet/anc-b6-de73,ValueSet/anc-b6-de72,ValueSet/anc-b10-de109,ValueSet/anc-b10-de76,ValueSet/anc-b10-de108,ValueSet/anc-b10-de75,ValueSet/anc-b10-de78,ValueSet/anc-b10-de105,ValueSet/anc-b10-de77,ValueSet/anc-b9-de100,ValueSet/anc-b10-de104,ValueSet/anc-b10-de79,ValueSet/anc-b10-de223,ValueSet/anc-b7-de73,ValueSet/anc-b9-de103,ValueSet/anc-b9-de102,ValueSet/anc-b10-de81,ValueSet/anc-b9-de101,ValueSet/anc-b10-de80,ValueSet/anc-b9-de108,ValueSet/anc-b10-de83,ValueSet/anc-b9-de107,ValueSet/anc-b10-de82,ValueSet/anc-b10-de85,ValueSet/anc-b10-de84,ValueSet/anc-c-de2,ValueSet/anc-c-de3,ValueSet/anc-b9-de109,ValueSet/anc-b10-de87,ValueSet/anc-b10-de89,ValueSet/anc-b10-de116,ValueSet/anc-b10-de237,ValueSet/anc-b10-de88,ValueSet/anc-b10-de117,ValueSet/anc-b10-de238,ValueSet/anc-b10-de114,ValueSet/anc-b7-de70,ValueSet/anc-b10-de233,ValueSet/anc-b7-de71,ValueSet/anc-b10-de234,ValueSet/anc-b10-de113,ValueSet/anc-b7-de72,ValueSet/anc-b9-de214,ValueSet/anc-b7-de62,ValueSet/anc-b7-de63,ValueSet/anc-b7-de64,ValueSet/anc-b7-de65,ValueSet/anc-b9-de211,ValueSet/anc-b7-de66,ValueSet/anc-b7-de67,ValueSet/anc-b10-de96,ValueSet/anc-b7-de68,ValueSet/anc-b10-de97,ValueSet/anc-b10-de127,ValueSet/anc-b10-de128,ValueSet/anc-b10-de249,ValueSet/anc-b10-de125,ValueSet/anc-b10-de247,ValueSet/anc-b9-de121,ValueSet/anc-b10-de126,ValueSet/anc-b9-de120,ValueSet/anc-b10-de124,ValueSet/anc-b10-de245,ValueSet/anc-b10-de121,ValueSet/anc-b9-de126,ValueSet/anc-b10-de242,ValueSet/anc-b7-de97,ValueSet/anc-b9-de124,ValueSet/anc-b7-de98,ValueSet/anc-b9-de129,ValueSet/anc-b9-de128,ValueSet/anc-b9-de127,ConceptMap/LOINC,ValueSet/anc-b10-de138,ValueSet/anc-b10-de257,ValueSet/anc-b9-de111,ValueSet/anc-b10-de136,ValueSet/anc-b9-de110,ValueSet/anc-b10-de137,ValueSet/anc-b10-de258,ValueSet/anc-end-1,ValueSet/anc-b10-de134,ValueSet/anc-b10-de256,ValueSet/anc-end-2,ValueSet/anc-b10-de135,ValueSet/anc-b9-de115,ValueSet/anc-b10-de133,ValueSet/anc-b9-de114,ValueSet/anc-b9-de113,ValueSet/anc-b10-de251,ValueSet/anc-b10-de252,ValueSet/anc-b9-de112,ValueSet/anc-b9-de117,ValueSet/anc-b9-de116,ValueSet/anc-b10-de34,ValueSet/anc-b10-de33,ValueSet/anc-b10-de38,ValueSet/anc-b10-de37,ValueSet/anc-b6-de28,ValueSet/anc-b6-de27,ValueSet/anc-b10-de41,ValueSet/anc-b6-de24,ValueSet/anc-b4-de1,ValueSet/anc-b10-de42,ValueSet/anc-b10-de45,ValueSet/anc-b10-de46,ValueSet/anc-b10-de49,ValueSet/anc-b6-de17,ValueSet/anc-b6-de15,ValueSet/anc-b6-de14,ValueSet/anc-b10-de50,ValueSet/anc-b6-de19,ValueSet/anc-b6-de18,ValueSet/anc-b6-de12,ValueSet/anc-b6-de11,ValueSet/anc-b10-de54,ValueSet/anc-b10-de53,ValueSet/anc-b10-de204,ValueSet/anc-b10-de205,ValueSet/anc-b10-de58,ValueSet/anc-b10-de203,ValueSet/anc-b10-de57,ValueSet/anc-b10-de61,ValueSet/anc-b9-de207,ValueSet/anc-b9-de206,ValueSet/anc-b10-de62,ValueSet/anc-b9-de208,ValueSet/anc-b8-de96,ValueSet/anc-b10-de65,ValueSet/anc-b5-de1,ValueSet/anc-b10-de216,ValueSet/anc-b10-de66,ValueSet/anc-b10-de69,ValueSet/anc-b5-de4,ValueSet/anc-b5-de5,ValueSet/anc-b5-de2,ValueSet/anc-b10-de211,ValueSet/anc-b5-de3,ValueSet/anc-b10-de210,ValueSet/anc-b5-de6,ValueSet/anc-b10-de70,ValueSet/anc-b10-de74,ValueSet/anc-b10-de73,ValueSet/anc-b9-de182,ValueSet/anc-b9-de181,ValueSet/anc-b9-de188,ValueSet/anc-b9-de187,ValueSet/anc-b9-de186,ValueSet/anc-end-23,ValueSet/anc-end-25,ValueSet/anc-end-26,ConceptMap/ICD-11,ConceptMap/ICD-10,ValueSet/anc-b9-de173,ValueSet/anc-b9-de172,ValueSet/anc-b9-de171,ValueSet/anc-b9-de170,ValueSet/anc-b9-de177,ValueSet/anc-b9-de176,ValueSet/anc-b9-de175,ValueSet/anc-b9-de174,ValueSet/anc-b9-de178,ValueSet/anc-b9-de10,ValueSet/anc-b9-de14,ValueSet/anc-b9-de13,ValueSet/anc-b10-de18,ValueSet/anc-b10-de17,ValueSet/anc-b9-de30,ValueSet/anc-b10-de10,ConceptMap/ICF,ValueSet/anc-b10-de14,ValueSet/anc-b10-de13,ValueSet/anc-b9-de29,ValueSet/anc-b7-de10,ValueSet/anc-b7-de11,ValueSet/anc-b7-de12,ValueSet/anc-b7-de13,ValueSet/anc-b7-de14,ValueSet/anc-b7-de15,ValueSet/anc-b7-de16,ValueSet/anc-b7-de17,ValueSet/anc-b7-de18,ValueSet/anc-b9-de22,ValueSet/anc-b7-de19,ValueSet/anc-b9-de25,ValueSet/anc-b9-de24,ValueSet/anc-b10-de29,ValueSet/anc-b9-de191,ValueSet/anc-b9-de190,ValueSet/anc-b9-de41,ValueSet/anc-b10-de21,ValueSet/anc-b9-de195,ValueSet/anc-b9-de194,ValueSet/anc-b9-de192,ValueSet/anc-b10-de22,ValueSet/anc-b10-de25,ValueSet/anc-b9-de197,ValueSet/anc-b9-de196,ValueSet/anc-b10-de26,ValueSet/anc-end-17,ValueSet/anc-end-18,ValueSet/anc-end-19,ValueSet/anc-end-12,ValueSet/anc-end-13,ValueSet/anc-b10-de30,ValueSet/anc-end-14,ValueSet/anc-b9-de31,ValueSet/anc-b9-de36,ValueSet/anc-b9-de37,ValueSet/anc-b9-de140,ValueSet/anc-b9-de144,ValueSet/anc-b9-de148,ValueSet/anc-b7-de30,ValueSet/anc-b9-de147,ValueSet/anc-b7-de31,ValueSet/anc-b9-de146,ValueSet/anc-b7-de32,ValueSet/anc-b9-de145,ValueSet/anc-b7-de33,ValueSet/anc-b7-de34,ValueSet/anc-b7-de35,ValueSet/anc-b9-de149,ValueSet/anc-b7-de36,ValueSet/anc-b7-de37,ValueSet/anc-b7-de38,ValueSet/anc-b7-de39,ValueSet/anc-b9-de133,ValueSet/anc-b9-de132,ValueSet/anc-b9-de131,ValueSet/anc-b9-de130,ValueSet/anc-b7-de20,ValueSet/anc-b7-de21,ValueSet/anc-b9-de134,ValueSet/anc-b7-de22,ValueSet/anc-b7-de23,ValueSet/anc-b9-de139,ValueSet/anc-b7-de24,ValueSet/anc-b7-de25,ValueSet/anc-b9-de138,ValueSet/anc-b7-de26,ValueSet/anc-b7-de27,ValueSet/anc-b7-de28,ValueSet/anc-b7-de29,ValueSet/anc-b9-de162,ValueSet/anc-b9-de160,ValueSet/anc-b9-de166,ValueSet/anc-b9-de165,ValueSet/anc-b7-de60,ValueSet/anc-b9-de164,ValueSet/anc-b9-de163,ValueSet/anc-b7-de61,ValueSet/anc-b7-de51,ValueSet/anc-b7-de52,ValueSet/anc-b9-de169,ValueSet/anc-b9-de168,ValueSet/anc-b7-de53,ValueSet/anc-b7-de54,ValueSet/anc-b9-de167,ValueSet/anc-b7-de55,ValueSet/anc-b7-de56,ValueSet/anc-b7-de57,ValueSet/anc-b7-de58,ValueSet/anc-b7-de59,ValueSet/anc-b9-de151,ValueSet/anc-b9-de150,ValueSet/anc-b9-de155,ValueSet/anc-b9-de154,ValueSet/anc-b9-de153,ValueSet/anc-b9-de152,ValueSet/anc-b7-de50,ValueSet/anc-b7-de40,ValueSet/anc-b7-de41,ValueSet/anc-b9-de157,ValueSet/anc-b9-de156,ValueSet/anc-b7-de43,ValueSet/anc-b7-de44,ValueSet/anc-b7-de45,ValueSet/anc-b7-de46,ValueSet/anc-b7-de47,ValueSet/anc-b7-de48,ValueSet/anc-b7-de49"
http://smart.who.int/anc/CodeSystem/anc-persona,0.3.0,draft,,ANCPersona,ANC Personas,"A persona is a depiction of a relevant stakeholder, or “end-user”, of the system. Although the specific roles and demographic profile of the personas will vary depending on the setting, the generic personas are based on the WHO core competencies and credentials of different health worker personas. Please note that these are developed based on synthesis across multiple contexts as a starting point, and further contextualization will be required according to the needs, motivations and challenges of the targeted personas in each setting.","ValueSet/anc-persona"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ConceptMap/SNOMED-CT"
