"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DAK","DAK","","","",0,*,"","","","null {[]} {[]}
","Digital Adaptation Kit (DAK)","Logical Model for representing a complete Digital Adaptation Kit (DAK) with metadata and all 9 DAK components","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DAK.id","DAK.id","","","",1,1,"","","","string {[]} {[]}
","DAK ID","Identifier for the DAK (e.g., smart.who.int.base)","","","","","","","","","",,,,,"",,,,"DAK.id",1,1,"",""
"DAK.name","DAK.name","","","",1,1,"","","","string {[]} {[]}
","DAK Name","Short name for the DAK (e.g., Base)","","","","","","","","","",,,,,"",,,,"DAK.name",1,1,"",""
"DAK.title","DAK.title","","","",1,1,"","","","string {[]} {[]}
","DAK Title","Full title of the DAK (e.g., SMART Base)","","","","","","","","","",,,,,"",,,,"DAK.title",1,1,"",""
"DAK.description[x]","DAK.description[x]","","","",1,1,"","","","string {[]} {[]}
uri {[]} {[]}","DAK Description","Description of the DAK - either Markdown content or a URI to a Markdown file (absolute or relative to repository root)","","","","","","","","","",,,,,"",,,,"DAK.description[x]",1,1,"",""
"DAK.version","DAK.version","","","",1,1,"","","","string {[]} {[]}
","DAK Version","Version of the DAK","","","","","","","","","",,,,,"",,,,"DAK.version",1,1,"",""
"DAK.status","DAK.status","","","",1,1,"","","","code {[]} {[]}
","DAK Status","Publication status of the DAK","","","","","","","","","",,,,,"",,,,"DAK.status",1,1,"",""
"DAK.publicationUrl","DAK.publicationUrl","","","",1,1,"","","","url {[]} {[]}
","Publication URL","Canonical URL for the published DAK (e.g., https://smart.who.int/base for WHO repositories)","","","","","","","","","",,,,,"",,,,"DAK.publicationUrl",1,1,"",""
"DAK.previewUrl","DAK.previewUrl","","","",1,1,"","","","url {[]} {[]}
","Preview URL","Preview URL for the current CI build (e.g., https://worldhealthorganization.github.io/smart-base)","","","","","","","","","",,,,,"",,,,"DAK.previewUrl",1,1,"",""
"DAK.canonicalUrl","DAK.canonicalUrl","","","",1,1,"","","","url {[]} {[]}
","Canonical URL","The canonical URL to use for this DAK instance - equals publicationUrl for release branches, previewUrl for development branches","","","","","","","","","",,,,,"",,,,"DAK.canonicalUrl",1,1,"",""
"DAK.license","DAK.license","","","",1,1,"","","","code {[]} {[]}
","License","License under which the DAK is published","","","","","","","","","",,,,,"",,,,"DAK.license",1,1,"",""
"DAK.copyrightYear","DAK.copyrightYear","","","",1,1,"","","","string {[]} {[]}
","Copyright Year","Year or year range for copyright","","","","","","","","","",,,,,"",,,,"DAK.copyrightYear",1,1,"",""
"DAK.publisher","DAK.publisher","","","",1,1,"","","","BackboneElement {[]} {[]}
","Publisher","Organization responsible for publishing the DAK","","","","","","","","","",,,,,"",,,,"DAK.publisher",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DAK.publisher.id","DAK.publisher.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"DAK.publisher.extension","DAK.publisher.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
