URL,Version,Status,OIDs,Name,Title,Description,Used
http://smart.who.int/base/CodeSystem/CDHIv1,1.0.0,active,,CDHIv1,Classification of Digital Health Interventions v1,"CodeSystem for Classification of Digital Health Interventions v1. Autogenerated from DAK artifacts",
http://smart.who.int/base/CodeSystem/CDHIv2,1.0.0,active,,CDHIv2,Classification of Digital Health Interventions v2,"CodeSystem for the Classification of Digital Interventions, Services and Applications in Health (CDISAH), second edition (2023). ISBN 978-92-4-008194-9.  Organised into four groups based on the primary user:   1. Persons   2. Healthcare providers   3. Health management and support personnel   4. Data services  New categories vs v1: 1.4.4, 1.6.2, 1.8, 2.5.6, 2.11, 3.1.5, 3.5.7, 3.5.8, 3.8, 4.3.5, 4.4.2, 4.4.3, 4.5. See ConceptMap CDHIv1toCDHIv2 for the full mapping from the first edition.",
http://smart.who.int/base/CodeSystem/CDSCv1,1.0.0,active,,CDSCv1,Classification of Digital Health System Categories v1,"CodeSystem for Classification of Digital Health System Categories v1. Autogenerated from DAK artifacts",
http://smart.who.int/base/CodeSystem/CDSCv2,1.0.0,active,,CDSCv2,Classification of Digital Health Services and Application Types v2,"CodeSystem for the Classification of Digital Health Services and Application Types v2, as defined in the Classification of Digital Interventions, Services and Applications in Health (CDISAH), second edition (2023). ISBN 978-92-4-008194-9.  Services and Application Types represent the types of software, ICT systems and services or communication channels that deliver or execute digital health interventions (DHIs) and health content.  The types are organised into five representations within the Digital Health Architecture:   A. Point of service   B. Health system/Provider administration   C. Registries and Directories   D. Data Management services   E. Surveillance and Response",
http://smart.who.int/base/CodeSystem/CoreDataElementType,1.0.0,active,,CoreDataElementType,Core Data Element Type,"CodeSystem for Core Data Element types - defines the type of FHIR resource that a Core Data Element references.",
http://smart.who.int/base/CodeSystem/DecisionTableActions,1.0.0,active,,DecisionTableActions,Smart Guidelines Actions (columns) for Decision Tables,"CodeSystem for Smart Guidelines Documentation Actions for Decision Tables""",
http://smart.who.int/base/CodeSystem/DocumentationSections,1.0.0,active,,DocumentationSections,Smart Guidelines Documentation Section,"CodeSystem for Smart Guidelines Documentation Section to autogenerate documentation from artifacts",
http://smart.who.int/base/CodeSystem/SGAuthoringPersonaTypes,1.0.0,active,,SGAuthoringPersonaTypes,SMART Guidelines Authoring Persona Types,"CodeSystem for SMART Guidelines authoring persona types. These represent roles involved in the authoring, review, and publication of SMART Guidelines and Digital Adaptation Kits, as distinct from the clinical/health personas defined within a DAK.",
http://smart.who.int/base/CodeSystem/SGAuthoringSkills,1.0.0,active,,SGAuthoringSkills,SMART Guidelines Authoring Skills,"CodeSystem for SMART Guidelines authoring skill capabilities. Each code represents a discrete skill that an authoring persona may possess. Skills are used to define Requirements resources as capability statements.",
http://smart.who.int/base/CodeSystem/SGPersonaTypes,1.0.0,active,,SGPersonaTypes,SMART Guidelines Persona Types,"CodeSystem for SMART Guidelines Persona Types",
http://smart.who.int/base/CodeSystem/SGTasks,1.0.0,active,,SGTasks,SMART Guidelines Tasks,"CodeSystem for SMART Guidelines tasks which are specializations of the Business Process Modeling Notatiton (BPMN) tasks, which are included in this codesystem  See [BPMN Spectification](https://www.omg.org/spec/BPMN) for more info.  The descriptions were adapted from the [normative human readable documentation](https://www.omg.org/spec/BPMN/2.0.2/PDF).",
http://www.ilo.org/public/english/bureau/stat/isco/isco08/,1.0.0,active,,ISCO08,International Standard Classification of Occupations 2008,"ISCO-08 codes from the International Labour Organization official classification",
