URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/5.0/conformance-expectation,5.0.0,active,"2.16.840.1.113883.4.642.1.839,2.16.840.1.113883.4.642.2.381,2.16.840.1.113883.4.642.1.1271",ConformanceExpectation,Conformance Expectation,"ConformanceExpectation","ValueSet/conformance-expectation"
http://hl7.org/fhir/5.0/examplescenario-actor-type,5.0.0,active,"2.16.840.1.113883.4.642.4.859",ExampleScenarioActorType,Example Scenario Actor Type,"The type of actor - system or human.","ValueSet/examplescenario-actor-type"
http://hl7.org/fhir/5.0/publication-status,5.0.0,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/5.0/version-algorithm,5.0.0,active,"2.16.840.1.113883.4.642.4.1989",VersionAlgorithm,Version Algorithm,"Indicates the mechanism used to compare versions to determine which is more current.","ValueSet/version-algorithm"
http://hl7.org/fhir/FHIR-version,4.0.1,active,"2.16.840.1.113883.4.642.4.1310",FHIRVersion,FHIRVersion,"All published FHIR Versions.","ValueSet/FHIR-version"
http://hl7.org/fhir/action-cardinality-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.4.808",ActionCardinalityBehavior,ActionCardinalityBehavior,"Defines behavior for an action or a group for how many times that item may be repeated.","ValueSet/action-cardinality-behavior"
http://hl7.org/fhir/action-condition-kind,4.0.1,draft,"2.16.840.1.113883.4.642.4.816",ActionConditionKind,ActionConditionKind,"Defines the kinds of conditions that can appear on actions.","ValueSet/action-condition-kind"
http://hl7.org/fhir/action-grouping-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.4.800",ActionGroupingBehavior,ActionGroupingBehavior,"Defines organization behavior of a group.","ValueSet/action-grouping-behavior"
http://hl7.org/fhir/action-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.812",ActionParticipantType,ActionParticipantType,"The type of participant for the action.","ValueSet/action-participant-type"
http://hl7.org/fhir/action-precheck-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.4.806",ActionPrecheckBehavior,ActionPrecheckBehavior,"Defines selection frequency behavior for an action or group.","ValueSet/action-precheck-behavior"
http://hl7.org/fhir/action-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.814",ActionRelationshipType,ActionRelationshipType,"Defines the types of relationships between actions.","ValueSet/action-relationship-type"
http://hl7.org/fhir/action-required-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.4.804",ActionRequiredBehavior,ActionRequiredBehavior,"Defines expectations around whether an action or action group is required.","ValueSet/action-required-behavior"
http://hl7.org/fhir/action-selection-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.4.802",ActionSelectionBehavior,ActionSelectionBehavior,"Defines selection behavior of a group.","ValueSet/action-selection-behavior"
http://hl7.org/fhir/binding-strength,4.0.1,active,"2.16.840.1.113883.4.642.4.44",BindingStrength,BindingStrength,"Indication of the degree of conformance expectations associated with a binding.","ValueSet/binding-strength"
http://hl7.org/fhir/codesystem-content-mode,4.0.1,active,"2.16.840.1.113883.4.642.4.783",CodeSystemContentMode,CodeSystemContentMode,"The extent of the content of the code system (the concepts and codes it defines) are represented in a code system resource.","ValueSet/codesystem-content-mode"
http://hl7.org/fhir/codesystem-hierarchy-meaning,4.0.1,active,"2.16.840.1.113883.4.642.4.785",CodeSystemHierarchyMeaning,CodeSystemHierarchyMeaning,"The meaning of the hierarchy of concepts in a code system.","ValueSet/codesystem-hierarchy-meaning"
http://hl7.org/fhir/compartment-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.787",CompartmentType,CompartmentType,"Which type a compartment definition describes.","ValueSet/compartment-type"
http://hl7.org/fhir/concept-map-equivalence,4.0.1,draft,"2.16.840.1.113883.4.642.4.18",ConceptMapEquivalence,ConceptMapEquivalence,"The degree of equivalence between concepts.","ValueSet/concept-map-equivalence"
http://hl7.org/fhir/concept-property-type,4.0.1,active,"2.16.840.1.113883.4.642.4.781",PropertyType,PropertyType,"The type of a property value.","ValueSet/concept-property-type"
http://hl7.org/fhir/conceptmap-unmapped-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.481",ConceptMapGroupUnmappedMode,ConceptMapGroupUnmappedMode,"Defines which action to take if there is no match in the group.","ValueSet/conceptmap-unmapped-mode"
http://hl7.org/fhir/constraint-severity,4.0.1,active,"2.16.840.1.113883.4.642.4.82",ConstraintSeverity,ConstraintSeverity,"SHALL applications comply with this constraint?","ValueSet/constraint-severity"
http://hl7.org/fhir/data-types,4.0.1,active,,DataType,DataType,"A version specific list of the data types defined by the FHIR specification for use as an element  type (any of the FHIR defined data types).","ValueSet/defined-types"
http://hl7.org/fhir/discriminator-type,4.0.1,active,"2.16.840.1.113883.4.642.4.92",DiscriminatorType,DiscriminatorType,"How an element value is interpreted when discrimination is evaluated.","ValueSet/discriminator-type"
http://hl7.org/fhir/extension-context-type,4.0.1,active,"2.16.840.1.113883.4.642.4.1013",ExtensionContextType,ExtensionContextType,"How an extension context is interpreted.","ValueSet/extension-context-type"
http://hl7.org/fhir/fhir-old-types,5.0.0,active,,FHIROldTypes,Old FHIR Types,"An old resource name no longer used in this version of FHIR (deleted or renamed).","ValueSet/R5-version-independent-all-resource-types-for-R4"
http://hl7.org/fhir/fhir-types,5.0.0,active,"2.16.840.1.113883.4.642.4.1802",FHIRTypes,All FHIR Types,"One of the types defined as part of this version of FHIR.","ValueSet/R5-version-independent-all-resource-types-for-R4"
http://hl7.org/fhir/filter-operator,4.0.1,active,"2.16.840.1.113883.4.642.4.479",FilterOperator,FilterOperator,"The kind of operation to perform as a part of a property based filter.","ValueSet/filter-operator"
http://hl7.org/fhir/graph-compartment-rule,4.0.1,draft,"2.16.840.1.113883.4.642.4.281",GraphCompartmentRule,GraphCompartmentRule,"How a compartment must be linked.","ValueSet/graph-compartment-rule"
http://hl7.org/fhir/graph-compartment-use,4.0.1,draft,"2.16.840.1.113883.4.642.4.283",GraphCompartmentUse,GraphCompartmentUse,"Defines how a compartment rule is used.","ValueSet/graph-compartment-use"
http://hl7.org/fhir/group-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.285",GroupType,GroupType,"Types of resources that are part of group.","ValueSet/group-type"
http://hl7.org/fhir/guide-page-generation,4.0.1,draft,"2.16.840.1.113883.4.642.4.999",GuidePageGeneration,GuidePageGeneration,"A code that indicates how the page is generated.","ValueSet/guide-page-generation"
http://hl7.org/fhir/guide-parameter-code,4.0.1,draft,"2.16.840.1.113883.4.642.4.997",GuideParameterCode,GuideParameterCode,"Code of parameter that is input to the guide.","ValueSet/guide-parameter-code"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/item-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.445",QuestionnaireItemType,QuestionnaireItemType,"Distinguishes groups from questions and display text and indicates data type for questions.","ValueSet/item-type"
http://hl7.org/fhir/map-context-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.680",StructureMapContextType,StructureMapContextType,"How to interpret the context.","ValueSet/map-context-type"
http://hl7.org/fhir/map-group-type-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.688",StructureMapGroupTypeMode,StructureMapGroupTypeMode,"If this is the default rule set to apply for the source type, or this combination of types.","ValueSet/map-group-type-mode"
http://hl7.org/fhir/map-input-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.678",StructureMapInputMode,StructureMapInputMode,"Mode for this instance of data.","ValueSet/map-input-mode"
http://hl7.org/fhir/map-model-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.676",StructureMapModelMode,StructureMapModelMode,"How the referenced structure is used in this mapping.","ValueSet/map-model-mode"
http://hl7.org/fhir/map-source-list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.684",StructureMapSourceListMode,StructureMapSourceListMode,"If field is a list, how to manage the source.","ValueSet/map-source-list-mode"
http://hl7.org/fhir/map-target-list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.686",StructureMapTargetListMode,StructureMapTargetListMode,"If field is a list, how to manage the production.","ValueSet/map-target-list-mode"
