Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.icvp.json	16785	-	0	0	0	0	0	0	5	23	0	0	0	0	0	0	0	0	0	0	62	61	0	0	0	0	10	0	1
fsh-generated/resources/CodeSystem-VaccineManufacturer.json	949	14	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	20	36	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-DisclosureStatements.json	2993	14	0	0	0	0	0	0	1	4826	0	0	0	0	0	0	0	0	0	0	24	29	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-ICVPProductIdToVaccineType.json	10926	14	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	38	33	0	0	0	0	3	0	0
fsh-generated/resources/ConceptMap-VaccineTradeItemtoManufacturer.json	3188	14	0	0	0	0	0	0	1	4700	0	0	0	0	0	0	0	0	0	0	24	27	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-ICVP.json	28647	16	0	0	1	0	0	0	1	97	0	0	0	0	0	0	0	0	0	0	134	558	0	0	0	0	22	0	0
fsh-generated/resources/Questionnaire-pPreQual.json	3538	15	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	59	53	0	0	0	0	5	0	0
fsh-generated/resources/QuestionnaireResponse-ICVPQRExample.json	3982	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	51	47	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-ICVP.json	1533	15	0	757	0	0	0	0	0	171	0	0	1	0	0	0	0	5	0	0	1453	2769	0	0	0	0	80	2	4
fsh-generated/resources/StructureDefinition-Composition-uv-ips-ICVP.json	1583	14	0	92	0	0	0	0	0	94	0	0	1	0	0	0	0	2	0	0	591	2053	0	0	0	0	22	0	2
fsh-generated/resources/StructureDefinition-ICVP.json	1399	14	0	25	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	33	134	0	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ICVPEvent.json	796	14	0	17	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	31	86	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPImmunization.json	1573	14	0	63	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	119	242	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ICVPMin.json	1061	15	0	27	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	31	92	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPMinVaccineDetails.json	1222	14	0	16	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	33	84	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPSD.json	5464	15	0	60	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	122	207	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ICVPVaccineDetails.json	1841	15	0	17	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	35	108	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ICVPVaccineDetailsSD.json	2031	14	0	20	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	60	108	0	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Immunization-uv-ips-ICVP.json	2145	14	0	28	0	0	0	0	1	33	0	0	0	0	0	0	0	1	0	0	146	246	0	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-pICVP.json	1176	14	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	31	81	0	0	0	0	1	0	0
